Var1,URL,SRC,R,G,B,USAGE,GitHub
92,https://live.staticflickr.com/65535/48885888621_26e48af1be_t.jpg,./NaturePhotos/92.jpg,106.8164,166.7028,137.0044,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/92.jpg
93,https://live.staticflickr.com/65535/50315907126_6db675c0a3_t.jpg,./NaturePhotos/93.jpg,142.6204,133.126,140.1084,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/93.jpg
94,https://live.staticflickr.com/944/42261704671_cbec7a9772_t.jpg,./NaturePhotos/94.jpg,132.6688,99.5984,107.2496,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/94.jpg
95,https://live.staticflickr.com/65535/49197661181_78ff82b902_t.jpg,./NaturePhotos/95.jpg,72.5188,95.7808,85.8328,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/95.jpg
96,https://live.staticflickr.com/4861/33090069348_475ced0223_t.jpg,./NaturePhotos/96.jpg,146.9744,85.3572,113.8936,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/96.jpg
97,https://live.staticflickr.com/7420/9768432436_ef4f937fcb_t.jpg,./NaturePhotos/97.jpg,110.782,89.5836,99.5796,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/97.jpg
98,https://live.staticflickr.com/65535/50526907586_7a5ab4691d_t.jpg,./NaturePhotos/98.jpg,151.2236,105.8668,118.7176,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/98.jpg
99,https://live.staticflickr.com/65535/49104665031_d982a0f049_t.jpg,./NaturePhotos/99.jpg,124.9644,106.4864,116.5796,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/99.jpg
100,https://live.staticflickr.com/5630/22225394728_16ec734ba8_t.jpg,./NaturePhotos/100.jpg,116.6608,39.874,98.878,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/100.jpg
101,https://live.staticflickr.com/65535/50590108443_b965ede6ab_t.jpg,./NaturePhotos/101.jpg,90.8272,78.612,84.5752,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/101.jpg
102,https://live.staticflickr.com/65535/50225704507_764c61ab6e_t.jpg,./NaturePhotos/102.jpg,84.6568,73.4472,100.6156,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/102.jpg
103,https://live.staticflickr.com/65535/48053604531_2cc4dcfde4_t.jpg,./NaturePhotos/103.jpg,63.4504,48.2052,83.7736,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/103.jpg
104,https://live.staticflickr.com/881/27502765797_3b75184a00_t.jpg,./NaturePhotos/104.jpg,74.8888,107.4468,86.2556,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/104.jpg
105,https://live.staticflickr.com/4881/44346857200_5606834a0f_t.jpg,./NaturePhotos/105.jpg,108.9852,113.3592,113.7124,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/105.jpg
